Metal1,Metal2,Metal1_Composition,Metal2_Composition,Site,adsorption_energy
Re,Cu,0.75,0.25,bridge,-0.3428495589605234
Re,Zn,0.5,0.5,bridge,-0.6297775470584099
Re,Hg,0.75,0.25,bridge,0.035507726640418
Re,Hg,0.75,0.25,hollow,-0.5835288068583111
Tc,Sc,0.75,0.25,bridge,-0.64705283015698
Tc,Ta,0.75,0.25,bridge,-0.4971821878598064
Tc,V,0.75,0.25,hollow,-0.6702192418551647
Tc,Mo,0.75,0.25,bridge,-0.4039306801559803
Os,Tc,0.5,0.5,hollow,-0.5086146426610583
Tc,W,0.75,0.25,bridge,-0.4352143836576658
Tc,V,0.75,0.25,bridge,-0.442421454757067
Tc,W,0.75,0.25,hollow,-0.6502311197573079
Tc,V,0.75,0.25,hollow,-0.6672359217581914
Tc,W,0.75,0.25,hollow,-0.6388793467549192
Os,Tc,0.5,0.5,bridge,-0.308475866658199
Tc,Os,0.75,0.25,bridge,-0.3585886233585995
Tc,Zr,0.75,0.25,bridge,-0.7508023537584165
Tc,Os,0.75,0.25,hollow,-0.5683892093574912
Tc,Y,0.75,0.25,bridge,-0.8840906507566331
Tc,Zr,0.75,0.25,hollow,-0.6242407107592669
Ag,Ru,0.5,0.5,bridge,-0.2205564296591262
Tc,Os,0.75,0.25,hollow,-0.5332175432585871
Ru,Au,0.75,0.25,bridge,0.120027101243096
Tc,Ru,0.75,0.25,bridge,-0.3401818908596112
Tc,Re,0.75,0.25,bridge,-0.341547358158067
Tc,Ru,0.75,0.25,top,0.1335385057437008
Tc,Re,0.75,0.25,bridge,-0.401868601456016
Tc,Re,0.75,0.25,hollow,-0.5755810419568377
Tc,La,0.75,0.25,bridge,-0.2605141699595776
Tc,Hf,0.75,0.25,bridge,-0.7590604644601342
Tc,Cr,0.75,0.25,bridge,-0.4345494734579631
Tc,Hf,0.75,0.25,hollow,-0.685946605360158
Tc,Cr,0.75,0.25,bridge,-0.4359602476569932
Tc,Cr,0.75,0.25,hollow,-0.6237930834567749
Cu,Ru,0.5,0.5,bridge,-0.1612835048572094
Cu,Ru,0.5,0.5,bridge,-0.2778132629527761
Tc,Rh,0.75,0.25,hollow,-0.6701308047585997
Rh,Tc,0.5,0.5,bridge,-0.1511298490576962
Ru,Tc,0.5,0.5,bridge,-0.3053069649567703
Tc,Rh,0.75,0.25,bridge,-0.3067808695586507
Tc,Rh,0.75,0.25,top,0.1714847805424426
Pd,Tc,0.5,0.5,bridge,-0.4832841096567506
Os,Sc,0.75,0.25,bridge,-0.5398432430547189
Os,Sc,0.75,0.25,hollow,-0.5281039799583311
Tc,Cd,0.75,0.25,hollow,-0.2787724643557965
Ru,Zn,0.5,0.5,~,0.0459755378406327
Cd,Ru,0.5,0.5,bridge,-0.2779519050554597
Ru,Hg,0.75,0.25,bridge,-0.1979986005562466
Ru,Zn,0.5,0.5,bridge,-0.4848710774594735
Ag,Ru,0.5,0.5,bridge,-0.2220487019576182
Tc,Hg,0.75,0.25,hollow,-0.2574305758598427
Tc,Mn,0.75,0.25,bridge,-0.4736799877564124
Tc,Hg,0.75,0.25,hollow,-0.5585816822594722
Tc,Mn,0.75,0.25,hollow,-0.5818177550563348
Tc,Mn,0.75,0.25,hollow,-0.5476862441564379
Os,La,0.75,0.25,bridge,-0.2130180599587845
Tc,Ir,0.75,0.25,bridge,-0.2944671741597346
Os,La,0.75,0.25,bridge,-0.6633042849598212
Tc,Cu,0.75,0.25,hollow,-0.5756862139596421
Tc,Cu,0.75,0.25,hollow,-0.6146530516625432
Tc,Cu,0.75,0.25,hollow,-0.3353309174626417
Tc,Fe,0.75,0.25,hollow,-0.6634664647562829
Tc,Fe,0.75,0.25,hollow,-0.5618972533584099
Os,Hf,0.75,0.25,hollow,-0.634295861257641
Os,Hf,0.75,0.25,hollow,-0.6053675750581249
Ir,Tc,0.5,0.5,bridge,-0.1383493423590778
Os,Ta,0.75,0.25,hollow,-0.5704625806565389
Os,Cr,0.75,0.25,hollow,-0.4492223958577312
Os,Ta,0.75,0.25,hollow,-0.529327403756696
Tc,Fe,0.75,0.25,hollow,-0.5639975640578712
Os,Tc,0.75,0.25,bridge,-0.2749579724577131
Os,Ru,0.75,0.25,bridge,-0.2531094081595881
Ir,Tc,0.5,0.5,bridge,-0.3217231847583832
Os,Re,0.75,0.25,bridge,-0.2760164953569699
Os,Ru,0.75,0.25,bridge,-0.1845288294598219
Os,Re,0.75,0.25,hollow,-0.3754388646584345
Tc,Pt,0.75,0.25,hollow,-0.3919288272581696
Os,Re,0.75,0.25,hollow,-0.3428090139595667
Os,Tc,0.75,0.25,hollow,-0.4098113322570214
Os,Ru,0.75,0.25,hollow,-0.3224339460566341
Os,Tc,0.75,0.25,hollow,-0.3738569307560908
Ir,Rh,0.75,0.25,bridge,-0.1740272761589665
Ir,Rh,0.5,0.5,bridge,-0.2244774539567231
Ir,Rh,0.5,0.5,bridge,-0.1899078397572964
Ir,Rh,0.5,0.5,bridge,-0.0680563513551248
Ir,Rh,0.75,0.25,bridge,-0.1300270126584735
Os,Ti,0.75,0.25,hollow,-0.5682607715561687
Os,Ti,0.75,0.25,hollow,-0.5606379104565065
Fe,Tc,0.5,0.5,bridge,-0.3283551431586318
Pt,Tc,0.5,0.5,bridge,0.0571515252422898
Cu,Tc,0.5,0.5,bridge,-0.4819174178546461
Fe,Tc,0.5,0.5,hollow,-0.5427003023641817
Pt,Tc,0.5,0.5,bridge,-0.297853358758374
Cu,Tc,0.5,0.5,hollow,-0.2356933061591632
Ru,Cu,0.75,0.25,bridge,-0.2967337463623778
Cu,Tc,0.5,0.5,hollow,-0.258550596458889
Cu,Tc,0.5,0.5,hollow,-0.4392122801573066
Cu,Tc,0.5,0.5,hollow,-0.4810648851552912
Os,Ir,0.75,0.25,bridge,-0.1477850257569741
Os,Ir,0.75,0.25,bridge,-0.0548974703587816
Ir,Ni,0.75,0.25,bridge,-0.2234000192611063
Ir,Ni,0.75,0.25,bridge,-0.1688407864630505
Os,Ru,0.5,0.5,bridge,-0.2942746535581761
Ir,Ni,0.75,0.25,bridge,-0.1187926568590853
Os,Co,0.75,0.25,bridge,-0.2195958677611713
Os,Ru,0.5,0.5,bridge,-0.2698286266595175
Os,Co,0.75,0.25,bridge,-0.1301078304595364
Ni,Os,0.5,0.5,bridge,-0.0348387347612231
Os,Co,0.75,0.25,hollow,-0.2617155524557972
Co,Os,0.5,0.5,bridge,-0.1357303827598741
Os,Ru,0.5,0.5,bridge,-0.1582652181595847
Co,Os,0.5,0.5,bridge,-0.2783349052615165
Ni,Os,0.5,0.5,bridge,-0.2660271963604543
Co,Os,0.5,0.5,bridge,-0.3434046711617782
Ir,Os,0.5,0.5,bridge,0.0406264600433416
Os,Rh,0.5,0.5,bridge,-0.3017641788564731
Ni,Os,0.5,0.5,bridge,-0.3464833671596068
Os,Rh,0.5,0.5,bridge,-0.2207116706585736
Os,Rh,0.5,0.5,bridge,-0.1093768377567983
Ir,Os,0.5,0.5,bridge,-0.0521427258563278
Os,Rh,0.5,0.5,bridge,0.0504767088432629
Ir,Os,0.5,0.5,bridge,-0.1874846661584968
Os,Ni,0.75,0.25,bridge,-0.1735448183598862
Os,Ni,0.75,0.25,bridge,-0.1386810491594303
Tc,Zn,0.75,0.25,bridge,-0.2517681590533982
Tc,Zn,0.75,0.25,hollow,-0.4812614874526559
Co,Ir,0.5,0.5,bridge,-0.2098476616583582
Tc,Zn,0.75,0.25,hollow,-0.596463874257978
Ir,Fe,0.75,0.25,bridge,-0.1681361476612153
Ir,Fe,0.75,0.25,hollow,-0.2567962785605857
Ir,Fe,0.75,0.25,hollow,-0.2623596459588668
Co,Ir,0.5,0.5,bridge,-0.0851404745617117
Fe,Ir,0.5,0.5,bridge,-0.123334644958021
Fe,Ir,0.5,0.5,bridge,0.0599119841363346
Ir,Mn,0.75,0.25,top,-0.2674466781563467
Ir,Mn,0.75,0.25,top,0.4583167124410749
Fe,Os,0.5,0.5,bridge,-0.1394565735599542
Fe,Os,0.5,0.5,bridge,-0.2089341754608256
Os,Pt,0.75,0.25,bridge,0.0851928563361354
Fe,Os,0.5,0.5,bridge,-0.335867389861022
Os,Fe,0.75,0.25,top,-0.1283875268627241
Os,Fe,0.75,0.25,top,0.2552290388421454
Ir,Pt,0.75,0.25,bridge,-0.1732314793580087
Ir,Pt,0.75,0.25,top,-0.3562847715574833
Ir,Pt,0.75,0.25,bridge,-0.102024866059736
Ir,Pt,0.75,0.25,top,-0.275202602856524
Os,Ag,0.75,0.25,bridge,-0.1243753442531385
Ir,Pt,0.75,0.25,bridge,-0.1994069257588933
Os,Ag,0.75,0.25,top,0.8994250819460206
Os,Ag,0.75,0.25,top,-0.2771140664544589
Ag,Os,0.5,0.5,bridge,0.2189407537453291
Ir,Zr,0.75,0.25,hollow,-0.5908406417574668
Ir,Zr,0.75,0.25,hollow,-0.4278409149582955
Ir,Hf,0.75,0.25,hollow,-0.5797401659574177
Ir,Hf,0.75,0.25,hollow,-0.4144051581560859
Ag,Os,0.5,0.5,bridge,0.2262174859434083
Os,Fe,0.75,0.25,bridge,-0.2624973356568887
Os,Fe,0.75,0.25,hollow,-0.3028444708606628
Os,Mn,0.75,0.25,bridge,-0.2084977048570806
Ir,Ni,0.5,0.5,bridge,-0.2761032996558867
Ir,Ni,0.5,0.5,bridge,-0.237677288160711
Os,Rh,0.75,0.25,bridge,-0.1966931344604461
Os,Mn,0.75,0.25,hollow,-0.3595893219525976
Os,Rh,0.75,0.25,bridge,-0.1892466032577147
Os,Mn,0.75,0.25,hollow,-0.3602912396517865
Ir,Ni,0.5,0.5,bridge,-0.0820689894598842
Os,Rh,0.75,0.25,bridge,-0.0597989208572187
Ir,Pt,0.5,0.5,bridge,-0.2335876892566091
Ir,Pt,0.5,0.5,bridge,-0.1902977789568183
Ir,Pt,0.5,0.5,bridge,-0.1524681048567515
Ir,Pt,0.5,0.5,bridge,-0.0999840122558168
